# TEST CONFIGURATION BEGIN
# RandomTreeGenerator(fraction_leaves_per_level=0.15, max_tree_depth=5, min_leaf_depth=3, n_cat_features=5, n_categories_per_cat_feature=5, n_classes=2, n_num_features=5, sample_random_state=None, tree_random_state=None)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffffaa1a98b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_rand_tree_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
6190,0.533167,0.475000,0.508000,0.520000,0.523000,0.435000,0.494333,0.480000,0.488333,0.545000,33.233398,60.536133,191.223633,208.274414,318.438477
6390,0.534677,0.580000,0.506774,0.470000,0.523226,0.530000,0.495000,0.515000,0.487742,0.470000,33.233398,65.379883,154.708008,199.301758,290.836914
6590,0.534375,0.525000,0.506406,0.495000,0.524687,0.570000,0.492656,0.420000,0.488750,0.520000,33.233398,66.610352,181.770508,234.516602,265.008789
6790,0.534394,0.535000,0.507424,0.540000,0.523939,0.500000,0.493636,0.525000,0.490909,0.560000,33.233398,53.000977,158.696289,205.145508,241.231445
6990,0.534853,0.550000,0.506765,0.485000,0.521618,0.445000,0.495441,0.555000,0.490882,0.490000,33.233398,62.379883,167.297852,210.973633,258.504883
7190,0.536429,0.590000,0.507286,0.525000,0.520714,0.490000,0.496143,0.520000,0.491286,0.505000,33.233398,65.293945,166.168945,241.379883,257.161133
7390,0.536944,0.555000,0.507222,0.505000,0.520972,0.530000,0.496389,0.505000,0.490139,0.450000,33.233398,57.239258,144.680664,228.852539,230.485352
7590,0.537703,0.565000,0.506351,0.475000,0.520135,0.490000,0.495541,0.465000,0.490541,0.505000,33.233398,60.817383,156.274414,186.739258,246.508789
7790,0.536974,0.510000,0.506711,0.520000,0.519079,0.480000,0.495132,0.480000,0.491316,0.520000,33.233398,65.149414,154.196289,215.915039,267.012695
7990,0.539359,0.630000,0.507949,0.555000,0.519487,0.535000,0.495513,0.510000,0.490769,0.470000,33.233398,59.422852,161.754883,199.153320,258.141602
8190,0.539125,0.530000,0.508250,0.520000,0.519875,0.535000,0.497625,0.580000,0.491875,0.535000,33.233398,58.145508,173.168945,202.735352,255.129883
8390,0.539390,0.550000,0.508902,0.535000,0.520976,0.565000,0.498902,0.550000,0.492805,0.530000,33.233398,51.364258,162.325195,209.540039,299.770508
8590,0.539881,0.560000,0.509048,0.515000,0.521786,0.555000,0.499286,0.515000,0.493333,0.515000,33.233398,59.254883,169.418945,174.809570,261.118164
8790,0.539884,0.540000,0.510116,0.555000,0.520349,0.460000,0.500000,0.530000,0.493372,0.495000,33.233398,55.969727,162.344727,238.551758,255.114258
8990,0.540341,0.560000,0.508864,0.455000,0.519205,0.470000,0.499773,0.490000,0.493295,0.490000,33.233398,56.129883,169.555664,206.583008,286.918945
9190,0.541111,0.575000,0.509667,0.545000,0.520333,0.570000,0.499333,0.480000,0.492889,0.475000,33.233398,66.024414,174.942383,201.747070,289.165039
9390,0.541630,0.565000,0.510435,0.545000,0.519239,0.470000,0.498370,0.455000,0.493261,0.510000,33.233398,62.668945,165.801758,195.961914,265.672852
9590,0.542340,0.575000,0.510213,0.500000,0.518936,0.505000,0.496702,0.420000,0.493298,0.495000,33.233398,64.028320,165.489258,203.688477,282.840820
9790,0.543542,0.600000,0.510312,0.515000,0.520000,0.570000,0.497500,0.535000,0.495312,0.590000,33.233398,61.090820,149.993164,209.231445,270.055664
9990,0.543776,0.555000,0.509592,0.475000,0.521020,0.570000,0.497755,0.510000,0.496122,0.535000,33.233398,59.415039,152.536133,190.235352,305.469727
10190,0.543600,0.535000,0.509300,0.495000,0.520300,0.485000,0.496400,0.430000,0.494700,0.425000,33.233398,65.157227,178.887695,210.489258,306.704102
10390,0.544020,0.565000,0.509706,0.530000,0.521176,0.565000,0.495882,0.470000,0.494412,0.480000,33.233398,57.625977,164.262695,205.043945,301.254883
10590,0.544038,0.545000,0.510000,0.525000,0.521058,0.515000,0.496346,0.520000,0.495673,0.560000,33.233398,57.610352,174.829102,229.918945,308.606445
10790,0.544811,0.585000,0.510377,0.530000,0.521981,0.570000,0.496887,0.525000,0.496509,0.540000,33.233398,65.840820,170.727539,221.293945,272.672852
