# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=90.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=2, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff9bf738b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_a_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
16590,0.803354,0.815000,0.462378,0.525000,7.920898,26.081055
16790,0.804036,0.860000,0.464277,0.620000,7.920898,25.893555
16990,0.804881,0.875000,0.463512,0.400000,7.920898,27.518555
17190,0.804824,0.800000,0.462706,0.395000,7.920898,23.666992
17390,0.805174,0.835000,0.463430,0.525000,7.920898,26.959961
17590,0.804943,0.785000,0.464138,0.525000,7.920898,28.002930
17790,0.804489,0.765000,0.463523,0.410000,7.920898,25.893555
17990,0.803989,0.760000,0.463764,0.485000,7.920898,24.413086
18190,0.804500,0.850000,0.463000,0.395000,7.920898,26.385742
18390,0.804890,0.840000,0.461484,0.325000,7.920898,25.893555
18590,0.805054,0.820000,0.461196,0.435000,7.920898,24.604492
18790,0.805108,0.810000,0.463763,0.700000,7.920898,25.096680
18990,0.805000,0.795000,0.464521,0.535000,7.920898,27.475586
19190,0.805053,0.810000,0.464895,0.500000,7.920898,27.284180
19390,0.805625,0.860000,0.464792,0.455000,7.920898,27.823242
19590,0.805155,0.760000,0.464175,0.405000,7.920898,26.385742
19790,0.804949,0.785000,0.463418,0.390000,7.920898,26.385742
19990,0.805101,0.820000,0.463384,0.460000,7.920898,26.877930
20190,0.805050,0.800000,0.463050,0.430000,7.920898,26.573242
20390,0.805099,0.810000,0.462426,0.400000,7.920898,24.456055
20590,0.805049,0.800000,0.462157,0.435000,7.920898,25.252930
20790,0.804709,0.770000,0.462087,0.455000,7.920898,25.284180
20990,0.804663,0.800000,0.461346,0.385000,7.920898,25.588867
21190,0.805143,0.855000,0.461286,0.455000,7.920898,25.284180
21390,0.805566,0.850000,0.460708,0.400000,7.920898,27.182617
21590,0.805374,0.785000,0.461776,0.575000,7.920898,26.510742
21790,0.805833,0.855000,0.461343,0.415000,7.920898,24.268555
21990,0.805826,0.805000,0.460872,0.410000,7.920898,25.682617
22190,0.805682,0.790000,0.461045,0.480000,7.920898,27.663086
22390,0.805856,0.825000,0.462252,0.595000,7.920898,25.065430
22590,0.805937,0.815000,0.462366,0.475000,7.920898,21.678711
