# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: SEAGenerator - Drift Stream: SEAGenerator - alpha: 90.0 - position: 250000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_SEA Generator_SEA ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
6190,0.803500,0.780000,0.563000,0.680000,0.533500,0.535000,0.576667,0.475000,0.613500,0.685000,7.920898,22.016602,53.629883,64.493164,81.559570
6390,0.803387,0.800000,0.563065,0.565000,0.531613,0.475000,0.571129,0.405000,0.617742,0.745000,7.920898,19.200195,49.672852,66.848633,80.301758
6590,0.802813,0.785000,0.566094,0.660000,0.532344,0.555000,0.570156,0.540000,0.619062,0.660000,7.920898,20.446289,44.172852,61.821289,78.340820
6790,0.802273,0.785000,0.566212,0.570000,0.536970,0.685000,0.572121,0.635000,0.624545,0.800000,7.920898,25.282227,44.118164,52.125977,81.918945
6990,0.803235,0.835000,0.568088,0.630000,0.535882,0.500000,0.569853,0.495000,0.623382,0.585000,7.920898,17.336914,46.266602,51.176758,80.055664
7190,0.804429,0.845000,0.571143,0.675000,0.537000,0.575000,0.567714,0.495000,0.617143,0.405000,7.920898,19.825195,46.250977,64.739258,62.227539
7390,0.805417,0.840000,0.568472,0.475000,0.538611,0.595000,0.572917,0.755000,0.617361,0.625000,7.920898,17.657227,56.723633,58.911133,68.825195
7590,0.807162,0.870000,0.568784,0.580000,0.541351,0.640000,0.577027,0.725000,0.619865,0.710000,7.920898,23.364258,54.797852,66.891602,71.852539
7790,0.806842,0.795000,0.571974,0.690000,0.545526,0.700000,0.580395,0.705000,0.620921,0.660000,7.920898,22.723633,45.196289,70.571289,83.415039
7990,0.805897,0.770000,0.574231,0.660000,0.544359,0.500000,0.583718,0.710000,0.621923,0.660000,7.920898,19.950195,49.192383,71.047852,86.493164
8190,0.805875,0.805000,0.576250,0.655000,0.544625,0.555000,0.586625,0.700000,0.623125,0.670000,7.920898,21.657227,42.270508,69.852539,78.629883
8390,0.805976,0.810000,0.578293,0.660000,0.540122,0.360000,0.588049,0.645000,0.624756,0.690000,7.920898,19.958008,50.243164,70.555664,76.254883
8590,0.806667,0.835000,0.581548,0.715000,0.542024,0.620000,0.588452,0.605000,0.623452,0.570000,7.920898,23.922852,48.598633,74.262695,80.012695
8790,0.806512,0.800000,0.584419,0.705000,0.544070,0.630000,0.587209,0.535000,0.622442,0.580000,7.920898,28.141602,39.860352,47.704102,77.583008
8990,0.807045,0.830000,0.588523,0.765000,0.542500,0.475000,0.584205,0.455000,0.622386,0.620000,7.920898,22.379883,47.094727,53.043945,82.493164
9190,0.806444,0.780000,0.588778,0.600000,0.542222,0.530000,0.580667,0.425000,0.621667,0.590000,7.920898,21.489258,45.004883,67.500977,88.286133
9390,0.806630,0.815000,0.590978,0.690000,0.546304,0.730000,0.581630,0.625000,0.622174,0.645000,7.920898,21.102539,48.176758,62.622070,89.454102
9590,0.807128,0.830000,0.589787,0.535000,0.549043,0.675000,0.584362,0.710000,0.621064,0.570000,7.920898,19.282227,43.993164,63.168945,82.102539
9790,0.807604,0.830000,0.590625,0.630000,0.552083,0.695000,0.584688,0.600000,0.619062,0.525000,7.920898,19.293945,48.059570,57.536133,77.821289
9990,0.807449,0.800000,0.592653,0.690000,0.554184,0.655000,0.587755,0.735000,0.616122,0.475000,7.920898,14.727539,48.411133,59.563477,75.227539
10190,0.807600,0.815000,0.592300,0.575000,0.557200,0.705000,0.589400,0.670000,0.615500,0.585000,7.920898,21.305664,49.219727,60.098633,72.446289
10390,0.807059,0.780000,0.588824,0.415000,0.558824,0.640000,0.589902,0.615000,0.615882,0.635000,7.920898,19.887695,50.465820,61.500977,82.715820
10590,0.807404,0.825000,0.587404,0.515000,0.562115,0.730000,0.589231,0.555000,0.616731,0.660000,7.920898,18.911133,54.430664,64.051758,78.629883
10790,0.806887,0.780000,0.589151,0.680000,0.564245,0.675000,0.588774,0.565000,0.616792,0.620000,7.920898,19.239258,48.442383,55.946289,73.915039
10990,0.807130,0.820000,0.590741,0.675000,0.564444,0.575000,0.590463,0.680000,0.612500,0.385000,7.920898,19.954102,51.239258,56.188477,66.368164
11190,0.807273,0.815000,0.591182,0.615000,0.566636,0.685000,0.593364,0.750000,0.608273,0.380000,7.920898,23.692383,51.860352,62.625977,75.454102
11390,0.807143,0.800000,0.592857,0.685000,0.568929,0.695000,0.594286,0.645000,0.604196,0.380000,7.920898,18.313477,51.625977,61.930664,79.973633
11590,0.807368,0.820000,0.589561,0.405000,0.566754,0.445000,0.594123,0.585000,0.604123,0.600000,7.920898,25.047852,52.418945,67.211914,77.024414
11790,0.807759,0.830000,0.591379,0.695000,0.572069,0.875000,0.593276,0.545000,0.602414,0.505000,7.920898,24.235352,43.458008,57.852539,81.301758
11990,0.808475,0.850000,0.589492,0.480000,0.573983,0.685000,0.595085,0.700000,0.599576,0.435000,7.920898,20.754883,53.821289,57.094727,78.293945
12190,0.807833,0.770000,0.589667,0.600000,0.574000,0.575000,0.597250,0.725000,0.599417,0.590000,7.920898,19.934570,53.008789,60.172852,79.348633
12390,0.807459,0.785000,0.588852,0.540000,0.571885,0.445000,0.594262,0.415000,0.598525,0.545000,7.920898,19.493164,48.489258,64.715820,71.543945
12590,0.807742,0.825000,0.590161,0.670000,0.572823,0.630000,0.593226,0.530000,0.599839,0.680000,7.920898,17.516602,52.622070,62.325195,72.965820
12790,0.808413,0.850000,0.591270,0.660000,0.574365,0.670000,0.594603,0.680000,0.598095,0.490000,7.920898,19.352539,51.250977,61.704102,78.469727
12990,0.809141,0.855000,0.592500,0.670000,0.575781,0.665000,0.595703,0.665000,0.595547,0.435000,7.920898,21.043945,56.817383,60.903320,84.934570
13190,0.809000,0.800000,0.593615,0.665000,0.575538,0.560000,0.594615,0.525000,0.591462,0.330000,7.920898,23.969727,41.813477,54.958008,80.911133
13390,0.809015,0.810000,0.594545,0.655000,0.572652,0.385000,0.590379,0.315000,0.591818,0.615000,7.920898,21.442383,46.864258,59.465820,83.286133
13590,0.809254,0.825000,0.596194,0.705000,0.569403,0.355000,0.591642,0.675000,0.592985,0.670000,7.920898,19.438477,55.008789,64.243164,82.520508
13790,0.809485,0.825000,0.596397,0.610000,0.568235,0.490000,0.593382,0.710000,0.594338,0.685000,7.920898,21.204102,50.961914,72.454102,72.739258
13990,0.809638,0.820000,0.596449,0.600000,0.569565,0.660000,0.594783,0.690000,0.594638,0.615000,7.920898,19.415039,47.364258,75.208008,81.008789
14190,0.809714,0.815000,0.597214,0.650000,0.571500,0.705000,0.596286,0.700000,0.595500,0.655000,7.920898,19.223633,54.305664,65.395508,84.165039
14390,0.810141,0.840000,0.598662,0.700000,0.573732,0.730000,0.597465,0.680000,0.597324,0.725000,7.920898,19.547852,51.540039,80.114258,88.891602
14590,0.810625,0.845000,0.595625,0.380000,0.574931,0.660000,0.598889,0.700000,0.595833,0.490000,7.920898,20.286133,53.610352,65.625977,92.235352
14790,0.810890,0.830000,0.594521,0.515000,0.576781,0.710000,0.599658,0.655000,0.595068,0.540000,7.920898,19.719727,53.110352,63.731445,90.938477
14990,0.811149,0.830000,0.594730,0.610000,0.578041,0.670000,0.600676,0.675000,0.596284,0.685000,7.920898,17.543945,58.879883,67.176758,78.856445
15190,0.811933,0.870000,0.595133,0.625000,0.580133,0.735000,0.602000,0.700000,0.598800,0.785000,7.920898,20.809570,44.477539,58.950195,69.020508
15390,0.811776,0.800000,0.594539,0.550000,0.577961,0.415000,0.600197,0.465000,0.598092,0.545000,7.920898,18.594727,56.997070,45.403320,78.473633
15590,0.812078,0.835000,0.594675,0.605000,0.579545,0.700000,0.600974,0.660000,0.598831,0.655000,7.920898,20.918945,52.692383,63.606445,85.415039
15790,0.812628,0.855000,0.595064,0.625000,0.578718,0.515000,0.602949,0.755000,0.600577,0.735000,7.920898,18.766602,45.254883,60.536133,73.774414
15990,0.812595,0.810000,0.594747,0.570000,0.580886,0.750000,0.604241,0.705000,0.602215,0.730000,7.920898,18.672852,50.934570,67.860352,81.770508
16190,0.813187,0.860000,0.593500,0.495000,0.584063,0.835000,0.606125,0.755000,0.603563,0.710000,7.920898,18.079102,53.657227,64.071289,80.715820
16390,0.813827,0.865000,0.593272,0.575000,0.585741,0.720000,0.607654,0.730000,0.604691,0.695000,7.920898,18.516602,48.016602,69.629883,87.270508
16590,0.814024,0.830000,0.594390,0.685000,0.587561,0.735000,0.605549,0.435000,0.605793,0.695000,7.920898,19.711914,40.825195,58.583008,87.618164
16790,0.814699,0.870000,0.595723,0.705000,0.589398,0.740000,0.605904,0.635000,0.607590,0.755000,7.920898,19.176758,45.118164,58.012695,87.735352
16990,0.815119,0.850000,0.597024,0.705000,0.590536,0.685000,0.605179,0.545000,0.609345,0.755000,7.920898,20.524414,33.934570,54.399414,85.278320
17190,0.815059,0.810000,0.597059,0.600000,0.589235,0.480000,0.603647,0.475000,0.610118,0.675000,7.920898,18.383789,51.172852,55.129883,74.661133
17390,0.815174,0.825000,0.597616,0.645000,0.590058,0.660000,0.603023,0.550000,0.608488,0.470000,7.920898,18.661133,47.735352,59.688477,80.903320
17590,0.815057,0.805000,0.597126,0.555000,0.591264,0.695000,0.604253,0.710000,0.606724,0.455000,7.920898,19.903320,49.989258,58.508789,72.938477
17790,0.814716,0.785000,0.596477,0.540000,0.591761,0.635000,0.604545,0.630000,0.604432,0.405000,7.920898,24.805664,47.774414,63.180664,87.583008
17990,0.814157,0.765000,0.594438,0.415000,0.591966,0.610000,0.603596,0.520000,0.601798,0.370000,7.920898,22.833008,48.364258,56.688477,83.778320
18190,0.814556,0.850000,0.593444,0.505000,0.591778,0.575000,0.604056,0.645000,0.599722,0.415000,7.920898,19.934570,49.043945,49.571289,93.239258
18390,0.815055,0.860000,0.594121,0.655000,0.593297,0.730000,0.605330,0.720000,0.598187,0.460000,7.920898,19.172852,48.942383,44.528320,80.676758
18590,0.815598,0.865000,0.593043,0.495000,0.593641,0.625000,0.605978,0.665000,0.598370,0.615000,7.920898,16.965820,48.844727,48.317383,75.157227
18790,0.815806,0.835000,0.593763,0.660000,0.596129,0.825000,0.606505,0.655000,0.598871,0.645000,7.920898,18.778320,55.739258,49.653320,71.903320
18990,0.815851,0.820000,0.594787,0.690000,0.597606,0.735000,0.607074,0.660000,0.598191,0.535000,7.920898,19.942383,46.793945,47.278320,74.719727
19190,0.816053,0.835000,0.594842,0.600000,0.599000,0.730000,0.608053,0.700000,0.599105,0.685000,7.920898,21.836914,50.918945,61.391602,78.645508
19390,0.816146,0.825000,0.595729,0.680000,0.600417,0.735000,0.608802,0.680000,0.600417,0.725000,7.920898,20.489258,52.336914,51.563477,71.836914
19590,0.815773,0.780000,0.595619,0.585000,0.600928,0.650000,0.608918,0.620000,0.601186,0.675000,7.920898,18.118164,42.368164,52.422852,72.317383
19790,0.815561,0.795000,0.596173,0.650000,0.602551,0.760000,0.609235,0.640000,0.602551,0.735000,7.920898,18.711914,46.797852,53.782227,83.977539
19990,0.815253,0.785000,0.596869,0.665000,0.603030,0.650000,0.609444,0.630000,0.603838,0.730000,7.920898,22.821289,49.778320,51.110352,93.743164
20190,0.814750,0.765000,0.595600,0.470000,0.603700,0.670000,0.609850,0.650000,0.602350,0.455000,7.920898,21.473633,51.450195,48.403320,92.442383
20390,0.814703,0.810000,0.594851,0.520000,0.604356,0.670000,0.610396,0.665000,0.600842,0.450000,7.920898,22.196289,44.223633,52.083008,71.020508
20590,0.814412,0.785000,0.593922,0.500000,0.604657,0.635000,0.610588,0.630000,0.599608,0.475000,7.920898,18.602539,45.844727,46.954102,74.754883
20790,0.814175,0.790000,0.593544,0.555000,0.604854,0.625000,0.611068,0.660000,0.597524,0.385000,7.920898,22.614258,54.079102,50.528320,69.778320
20990,0.814375,0.835000,0.594327,0.675000,0.604567,0.575000,0.611875,0.695000,0.597019,0.545000,7.920898,21.875977,49.821289,59.137695,86.965820
21190,0.814905,0.870000,0.593333,0.490000,0.604571,0.605000,0.612238,0.650000,0.596667,0.560000,7.920898,24.997070,46.567383,61.383789,64.618164
21390,0.815472,0.875000,0.594009,0.665000,0.604528,0.600000,0.612689,0.660000,0.597217,0.655000,7.920898,24.938477,52.200195,58.239258,71.883789
21590,0.815514,0.820000,0.594533,0.650000,0.605093,0.665000,0.613037,0.650000,0.595561,0.420000,7.920898,21.559570,43.672852,59.575195,87.512695
21790,0.816250,0.895000,0.595000,0.645000,0.606991,0.810000,0.613333,0.645000,0.595417,0.580000,7.920898,22.176758,51.489258,64.723633,79.379883
21990,0.816239,0.815000,0.595459,0.645000,0.608578,0.780000,0.613624,0.645000,0.595963,0.655000,7.920898,25.465820,46.672852,67.450195,87.829102
22190,0.816136,0.805000,0.595636,0.615000,0.609182,0.675000,0.613682,0.620000,0.596136,0.615000,7.920898,20.805664,48.368164,63.711914,85.391602
22390,0.816261,0.830000,0.596351,0.675000,0.610270,0.730000,0.614234,0.675000,0.597523,0.750000,7.920898,23.844727,52.543945,61.809570,72.672852
22590,0.816205,0.810000,0.596607,0.625000,0.611295,0.725000,0.614286,0.620000,0.598214,0.675000,7.920898,21.829102,56.852539,65.266602,72.844727
22790,0.816637,0.865000,0.597389,0.685000,0.612522,0.750000,0.614867,0.680000,0.599027,0.690000,7.920898,23.047852,45.704102,62.438477,69.055664
22990,0.816798,0.835000,0.598202,0.690000,0.611316,0.475000,0.615482,0.685000,0.599956,0.705000,7.920898,19.262695,54.438477,62.305664,74.364258
23190,0.817261,0.870000,0.597826,0.555000,0.610261,0.490000,0.616304,0.710000,0.599217,0.515000,7.920898,24.000977,56.879883,52.547852,76.813477
23390,0.817414,0.835000,0.597974,0.615000,0.608534,0.410000,0.616595,0.650000,0.598448,0.510000,7.920898,17.602539,51.625977,61.418945,84.426758
23590,0.818120,0.900000,0.599316,0.755000,0.607009,0.430000,0.616838,0.645000,0.597009,0.430000,7.920898,22.844727,56.133789,64.614258,83.879883
23790,0.817966,0.800000,0.599280,0.595000,0.606271,0.520000,0.617161,0.655000,0.596441,0.530000,7.920898,21.165039,42.918945,66.336914,80.333008
23990,0.818067,0.830000,0.598739,0.535000,0.607227,0.720000,0.617857,0.700000,0.595714,0.510000,7.920898,17.008789,42.848633,69.407227,87.688477
24190,0.818250,0.840000,0.598542,0.575000,0.608042,0.705000,0.617208,0.540000,0.594458,0.445000,7.920898,22.188477,54.067383,64.899414,76.028320
24390,0.818636,0.865000,0.599587,0.725000,0.608760,0.695000,0.617273,0.625000,0.593471,0.475000,7.920898,19.325195,53.637695,62.446289,87.797852
24590,0.819057,0.870000,0.599836,0.630000,0.608934,0.630000,0.617377,0.630000,0.592910,0.525000,7.920898,21.879883,50.391602,55.497070,69.145508
24790,0.819390,0.860000,0.600691,0.705000,0.610488,0.800000,0.618455,0.750000,0.594268,0.760000,7.920898,21.411133,60.747070,69.465820,70.071289
24990,0.819315,0.810000,0.601411,0.690000,0.611411,0.725000,0.619113,0.700000,0.595121,0.700000,7.920898,15.559570,52.766602,67.399414,70.051758
25190,0.819200,0.805000,0.601600,0.625000,0.611640,0.640000,0.619480,0.665000,0.595640,0.660000,7.920898,19.032227,55.969727,58.504883,78.747070
25390,0.819802,0.895000,0.602183,0.675000,0.612540,0.725000,0.619683,0.645000,0.596627,0.720000,7.920898,19.262695,51.118164,49.040039,74.293945
25590,0.819921,0.835000,0.602756,0.675000,0.613622,0.750000,0.620433,0.715000,0.597717,0.735000,7.920898,19.368164,52.411133,52.286133,70.090820
25790,0.820000,0.830000,0.602578,0.580000,0.613086,0.545000,0.620547,0.635000,0.598555,0.705000,7.920898,22.821289,56.676758,61.973633,80.692383
25990,0.820000,0.820000,0.602054,0.535000,0.613605,0.680000,0.618372,0.340000,0.599264,0.690000,7.920898,23.485352,44.727539,54.809570,80.915039
26190,0.820538,0.890000,0.602000,0.595000,0.613000,0.535000,0.616692,0.400000,0.599462,0.625000,7.920898,18.918945,46.680664,51.989258,76.141602
26390,0.820382,0.800000,0.602061,0.610000,0.612939,0.605000,0.616031,0.530000,0.599733,0.635000,7.920898,19.602539,48.473633,58.625977,84.102539
26590,0.820568,0.845000,0.602652,0.680000,0.613939,0.745000,0.616818,0.720000,0.600758,0.735000,7.920898,17.372070,49.196289,54.762695,73.336914
26790,0.820940,0.870000,0.602782,0.620000,0.614925,0.745000,0.618120,0.790000,0.601805,0.740000,7.920898,19.497070,44.083008,61.504883,78.723633
26990,0.821082,0.840000,0.603097,0.645000,0.614925,0.615000,0.619328,0.780000,0.602276,0.665000,7.920898,22.372070,49.059570,64.333008,87.598633
27190,0.821519,0.880000,0.603074,0.600000,0.614963,0.620000,0.619556,0.650000,0.603185,0.725000,7.920898,22.993164,48.637695,64.258789,80.383789
27390,0.821654,0.840000,0.602647,0.545000,0.615184,0.645000,0.619522,0.615000,0.604044,0.720000,7.920898,22.043945,41.711914,58.973633,82.750977
27590,0.822336,0.915000,0.602044,0.520000,0.615219,0.620000,0.619599,0.630000,0.604891,0.720000,7.920898,22.661133,47.067383,58.618164,75.356445
27790,0.822754,0.880000,0.600580,0.400000,0.614275,0.485000,0.619457,0.600000,0.604891,0.605000,7.920898,19.622070,40.969727,64.657227,78.977539
27990,0.822770,0.825000,0.599245,0.415000,0.614101,0.590000,0.619460,0.620000,0.604820,0.595000,7.920898,17.012695,39.450195,63.243164,82.321289
28190,0.822607,0.800000,0.597857,0.405000,0.613607,0.545000,0.619429,0.615000,0.604893,0.615000,7.920898,16.903320,44.536133,60.145508,83.270508
28390,0.822695,0.835000,0.597695,0.575000,0.612270,0.425000,0.619255,0.595000,0.605532,0.695000,7.920898,24.911133,38.965820,55.020508,78.094727
28590,0.822958,0.860000,0.597852,0.620000,0.611479,0.500000,0.618275,0.480000,0.605317,0.575000,7.920898,21.567383,47.961914,58.786133,72.661133
28790,0.823007,0.830000,0.597692,0.575000,0.611329,0.590000,0.618287,0.620000,0.605420,0.620000,7.920898,21.141602,57.875977,64.708008,82.364258
28990,0.823125,0.840000,0.598507,0.715000,0.611250,0.600000,0.618090,0.590000,0.605104,0.560000,7.920898,17.668945,41.333008,58.758789,74.063477
29190,0.823379,0.860000,0.598897,0.655000,0.611931,0.710000,0.618759,0.715000,0.605862,0.715000,7.920898,17.157227,50.446289,62.176758,81.579102
29390,0.823493,0.840000,0.598356,0.520000,0.611747,0.585000,0.619315,0.700000,0.606541,0.705000,7.920898,20.551758,53.891602,63.036133,81.516602
29590,0.823639,0.845000,0.597959,0.540000,0.612483,0.720000,0.619286,0.615000,0.606701,0.630000,7.920898,25.458008,58.985352,61.532227,75.442383
29790,0.823851,0.855000,0.597838,0.580000,0.612500,0.615000,0.619595,0.665000,0.607027,0.655000,7.920898,18.903320,45.590820,48.458008,75.743164
29990,0.824128,0.865000,0.598423,0.685000,0.612148,0.560000,0.618121,0.400000,0.606409,0.515000,7.920898,18.208008,46.137695,65.200195,73.969727
30190,0.824067,0.815000,0.598967,0.680000,0.611600,0.530000,0.616633,0.395000,0.605867,0.525000,7.920898,20.860352,45.290039,63.993164,87.512695
30390,0.823974,0.810000,0.599007,0.605000,0.611954,0.665000,0.615728,0.480000,0.605331,0.525000,7.920898,16.657227,51.649414,65.040039,73.540039
30590,0.824309,0.875000,0.597566,0.380000,0.612928,0.760000,0.614112,0.370000,0.604572,0.490000,7.920898,16.680664,47.055664,64.633789,74.426758
30790,0.824346,0.830000,0.596209,0.390000,0.612549,0.555000,0.613137,0.465000,0.603203,0.395000,7.920898,17.969727,50.098633,70.165039,77.813477
30990,0.824513,0.850000,0.594805,0.380000,0.612922,0.670000,0.614675,0.850000,0.601688,0.370000,7.920898,14.993164,49.766602,73.598633,83.047852
31190,0.824742,0.860000,0.593484,0.390000,0.613839,0.755000,0.615419,0.730000,0.600065,0.350000,7.920898,16.961914,59.325195,63.719727,85.079102
31390,0.824936,0.855000,0.592308,0.410000,0.614647,0.740000,0.616603,0.800000,0.599295,0.480000,7.920898,17.024414,49.899414,61.750977,62.711914
31590,0.825096,0.850000,0.590573,0.320000,0.615223,0.705000,0.617898,0.820000,0.598631,0.495000,7.920898,16.364258,43.321289,72.598633,71.883789
