# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1000_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
9390,0.545978,0.500000,0.808478,0.825000,8.858398,27.112305
9590,0.547447,0.615000,0.808936,0.830000,8.858398,27.081055
9790,0.548958,0.620000,0.808438,0.785000,8.858398,26.284180
9990,0.553061,0.750000,0.809388,0.855000,8.858398,27.100586
10190,0.549100,0.355000,0.808400,0.760000,8.858398,26.776367
10390,0.546667,0.425000,0.807941,0.785000,8.858398,27.909180
10590,0.548269,0.630000,0.808462,0.835000,8.858398,27.909180
10790,0.551038,0.695000,0.809057,0.840000,8.858398,26.963867
10990,0.553981,0.710000,0.810000,0.860000,8.858398,26.565430
11190,0.550909,0.385000,0.809364,0.775000,8.858398,28.213867
11390,0.550893,0.550000,0.810625,0.880000,8.858398,25.948242
11590,0.551754,0.600000,0.810789,0.820000,8.858398,26.284180
11790,0.553966,0.680000,0.811293,0.840000,8.858398,26.354492
11990,0.557542,0.765000,0.810847,0.785000,8.858398,26.030273
12190,0.553667,0.325000,0.810250,0.775000,8.858398,26.776367
12390,0.553525,0.545000,0.810984,0.855000,8.858398,27.909180
12590,0.555484,0.675000,0.810968,0.810000,8.858398,27.604492
12790,0.558175,0.725000,0.810317,0.770000,8.858398,28.213867
12990,0.560937,0.735000,0.811172,0.865000,8.858398,28.549805
13190,0.557769,0.355000,0.810538,0.770000,8.858398,29.061523
13390,0.556894,0.500000,0.810758,0.825000,8.858398,26.272461
13590,0.558134,0.640000,0.810672,0.805000,8.858398,28.549805
13790,0.560588,0.725000,0.811103,0.840000,8.858398,26.284180
13990,0.564638,0.840000,0.811667,0.850000,8.858398,27.541992
14190,0.562071,0.385000,0.810929,0.760000,8.858398,27.112305
14390,0.561127,0.495000,0.810493,0.780000,8.858398,27.561523
14590,0.562986,0.695000,0.810903,0.840000,8.858398,25.338867
14790,0.566027,0.785000,0.811233,0.835000,8.858398,28.213867
14990,0.568378,0.740000,0.810676,0.770000,8.858398,27.877930
15190,0.565667,0.365000,0.810800,0.820000,8.858398,26.471680
15390,0.566184,0.605000,0.810789,0.810000,8.858398,27.206055
15590,0.566623,0.600000,0.811623,0.875000,8.858398,25.456055
15790,0.568205,0.690000,0.812179,0.855000,8.858398,26.870117
15990,0.571519,0.830000,0.811899,0.790000,8.858398,27.604492
16190,0.569937,0.445000,0.810500,0.700000,8.858398,26.807617
16390,0.570432,0.610000,0.811481,0.890000,8.858398,28.213867
16590,0.572073,0.705000,0.811951,0.850000,8.858398,27.604492
16790,0.574940,0.810000,0.812711,0.875000,8.858398,26.565430
16990,0.578274,0.855000,0.813571,0.885000,8.858398,28.213867
17190,0.575471,0.340000,0.813647,0.820000,8.858398,24.823242
17390,0.575814,0.605000,0.814535,0.890000,8.858398,25.862305
17590,0.577069,0.685000,0.814425,0.805000,8.858398,27.897461
17790,0.578182,0.675000,0.814148,0.790000,8.858398,26.268555
17990,0.581124,0.840000,0.814270,0.825000,8.858398,28.198242
18190,0.580167,0.495000,0.814167,0.805000,8.858398,27.252930
18390,0.580220,0.585000,0.813846,0.785000,8.858398,28.198242
18590,0.582065,0.750000,0.814022,0.830000,8.858398,28.374023
18790,0.583548,0.720000,0.814409,0.850000,8.858398,28.198242
18990,0.585585,0.775000,0.814096,0.785000,8.858398,25.627930
19190,0.584000,0.435000,0.813789,0.785000,8.858398,26.760742
19390,0.584427,0.625000,0.813542,0.790000,8.858398,27.893555
19590,0.585155,0.655000,0.813351,0.795000,8.858398,28.198242
19790,0.587653,0.830000,0.813061,0.785000,8.858398,28.198242
19990,0.589697,0.790000,0.812475,0.755000,8.858398,26.760742
20190,0.588250,0.445000,0.811500,0.715000,8.858398,26.760742
20390,0.587772,0.540000,0.811683,0.830000,8.858398,28.709961
20590,0.590147,0.830000,0.812255,0.870000,8.858398,26.456055
20790,0.592573,0.840000,0.811942,0.780000,8.858398,30.674805
20990,0.595096,0.855000,0.811875,0.805000,8.858398,27.862305
21190,0.593238,0.400000,0.811524,0.775000,8.858398,30.370117
21390,0.593349,0.605000,0.811887,0.850000,8.858398,26.760742
21590,0.593738,0.635000,0.812196,0.845000,8.858398,26.002930
21790,0.595833,0.820000,0.812500,0.845000,8.858398,27.987305
21990,0.598165,0.850000,0.812431,0.805000,8.858398,28.198242
22190,0.597364,0.510000,0.812000,0.765000,8.858398,29.381836
22390,0.597523,0.615000,0.812252,0.840000,8.858398,26.456055
22590,0.599464,0.815000,0.812634,0.855000,8.858398,27.065430
22790,0.601504,0.830000,0.812124,0.755000,8.858398,26.874023
22990,0.603596,0.840000,0.811930,0.790000,8.858398,28.534180
23190,0.602478,0.475000,0.810696,0.670000,8.858398,25.932617
23390,0.603060,0.670000,0.810086,0.740000,8.858398,29.557617
23590,0.604188,0.735000,0.809915,0.790000,8.858398,26.573242
23790,0.605975,0.815000,0.809788,0.795000,8.858398,27.893555
23990,0.608067,0.855000,0.810042,0.840000,8.858398,27.401367
