# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Mixed Generator_Mixed ' 'Generator_1000_1_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
6190,0.518000,0.445000,0.729000,0.695000,0.735667,0.630000,0.726167,0.650000,0.615667,0.590000,8.858398,19.469727,50.442383,62.247070,79.465820
6390,0.516613,0.475000,0.730968,0.790000,0.739032,0.840000,0.725161,0.695000,0.618871,0.715000,8.858398,21.047852,48.415039,53.481445,76.563477
6590,0.513750,0.425000,0.731719,0.755000,0.744375,0.910000,0.727187,0.790000,0.624375,0.795000,8.858398,16.555664,42.942383,58.840820,78.586914
6790,0.514848,0.550000,0.731667,0.730000,0.748636,0.885000,0.728939,0.785000,0.630152,0.815000,8.858398,23.504883,52.547852,51.883789,78.950195
6990,0.517206,0.595000,0.733088,0.780000,0.753382,0.910000,0.730147,0.770000,0.635294,0.805000,8.858398,21.106445,56.391602,57.711914,78.961914
7190,0.514286,0.415000,0.732429,0.710000,0.748571,0.585000,0.720143,0.380000,0.628857,0.410000,8.858398,20.797852,55.770508,65.297852,89.161133
7390,0.514306,0.515000,0.732500,0.735000,0.750278,0.810000,0.716806,0.600000,0.624444,0.470000,8.858398,20.188477,49.907227,61.790039,83.297852
7590,0.515135,0.545000,0.733784,0.780000,0.754324,0.900000,0.715270,0.660000,0.621622,0.520000,8.858398,16.391602,40.129883,73.770508,77.450195
7790,0.518158,0.630000,0.734079,0.745000,0.757237,0.865000,0.713947,0.665000,0.621974,0.635000,8.858398,22.684570,49.247070,54.602539,75.852539
7990,0.522051,0.670000,0.735897,0.805000,0.759744,0.855000,0.714231,0.725000,0.625000,0.740000,8.858398,22.407227,42.993164,58.590820,76.364258
8190,0.518000,0.360000,0.736750,0.770000,0.755125,0.575000,0.706625,0.410000,0.623125,0.550000,8.858398,21.559570,50.012695,59.411133,75.500977
8390,0.518537,0.540000,0.736463,0.725000,0.757073,0.835000,0.705244,0.650000,0.620488,0.515000,8.858398,24.176758,48.891602,58.043945,86.290039
8590,0.520238,0.590000,0.734167,0.640000,0.756548,0.735000,0.703929,0.650000,0.622143,0.690000,8.858398,18.958008,49.446289,52.508789,81.200195
8790,0.522674,0.625000,0.734767,0.760000,0.756512,0.755000,0.702791,0.655000,0.623140,0.665000,8.858398,18.559570,44.801758,55.504883,77.239258
8990,0.526477,0.690000,0.735568,0.770000,0.757159,0.785000,0.700682,0.610000,0.624773,0.695000,8.858398,22.348633,52.606445,54.071289,74.719727
9190,0.523556,0.395000,0.734111,0.670000,0.752222,0.535000,0.692556,0.335000,0.616778,0.265000,8.858398,18.348633,47.219727,63.883789,80.942383
9390,0.522500,0.475000,0.733913,0.725000,0.752826,0.780000,0.691413,0.640000,0.612283,0.410000,8.858398,21.950195,47.208008,56.336914,82.629883
9590,0.523936,0.590000,0.734787,0.775000,0.752553,0.740000,0.692128,0.725000,0.614043,0.695000,8.858398,19.946289,37.625977,62.477539,83.500977
