# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB$_5$] SWMEB eps: 0.1, kernelized: False, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{50}$] SWMEB eps: 0.1, kernelized: False, w_size: 50 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{100}$] SWMEB eps: 0.1, kernelized: False, w_size: 100 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# [MEB$_{300}$] SWMEB eps: 0.1, kernelized: False, w_size: 300 only_mis: True kernel: <function elm_kernel_vec at 0xffff97a8a8b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_Hyperplane Generator_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{50}$],current_acc_[MEB$_{50}$],mean_acc_[MEB$_{100}$],current_acc_[MEB$_{100}$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{50}$],model_size_[MEB$_{100}$],model_size_[MEB$_{300}$]
6190,0.628167,0.710000,0.567833,0.450000,0.597833,0.600000,0.600000,0.575000,0.638000,0.560000,14.483398,27.231445,81.653320,120.954102,141.286133
6390,0.629355,0.665000,0.569355,0.615000,0.600484,0.680000,0.601452,0.645000,0.634194,0.520000,14.483398,33.157227,74.219727,113.075195,163.458008
6590,0.629062,0.620000,0.568281,0.535000,0.600625,0.605000,0.601250,0.595000,0.635000,0.660000,14.483398,26.563477,81.934570,116.750977,149.872070
6790,0.631061,0.695000,0.567273,0.535000,0.598030,0.515000,0.602879,0.655000,0.633485,0.585000,14.483398,31.645508,72.911133,113.204102,134.965820
6990,0.633824,0.725000,0.565441,0.505000,0.595294,0.505000,0.602500,0.590000,0.631471,0.565000,14.483398,30.918945,79.614258,122.125977,136.118164
7190,0.634714,0.665000,0.566286,0.595000,0.594571,0.570000,0.603571,0.640000,0.629000,0.545000,14.483398,33.454102,83.067383,118.500977,141.661133
7390,0.636111,0.685000,0.566111,0.560000,0.592778,0.530000,0.604722,0.645000,0.627917,0.590000,14.483398,22.704102,87.809570,118.293945,134.102539
7590,0.636486,0.650000,0.566757,0.590000,0.591486,0.545000,0.605811,0.645000,0.627973,0.630000,14.483398,22.770508,82.950195,103.469727,138.579102
7790,0.637895,0.690000,0.566974,0.575000,0.589737,0.525000,0.610395,0.780000,0.632500,0.800000,14.483398,28.622070,77.692383,110.766602,143.465820
7990,0.638205,0.650000,0.564872,0.485000,0.591538,0.660000,0.609487,0.575000,0.635897,0.765000,14.483398,29.204102,94.821289,104.172852,145.551758
8190,0.639250,0.680000,0.564250,0.540000,0.592000,0.610000,0.608500,0.570000,0.637250,0.690000,14.483398,31.989258,81.641602,82.168945,142.063477
8390,0.640732,0.700000,0.564634,0.580000,0.590366,0.525000,0.610366,0.685000,0.639024,0.710000,14.483398,34.286133,89.547852,99.243164,148.821289
8590,0.641429,0.670000,0.562857,0.490000,0.592381,0.675000,0.613929,0.760000,0.639881,0.675000,14.483398,34.192383,70.872070,114.336914,152.008789
8790,0.641395,0.640000,0.562907,0.565000,0.593721,0.650000,0.615930,0.700000,0.641279,0.700000,14.483398,26.813477,85.098633,107.879883,161.543945
8990,0.643864,0.750000,0.563636,0.595000,0.595568,0.675000,0.615909,0.615000,0.642045,0.675000,14.483398,30.211914,89.524414,103.840820,158.965820
9190,0.645333,0.710000,0.563667,0.565000,0.595111,0.575000,0.618556,0.735000,0.642222,0.650000,14.483398,25.040039,88.336914,109.454102,172.782227
9390,0.647609,0.750000,0.561739,0.475000,0.595109,0.595000,0.620217,0.695000,0.643913,0.720000,14.483398,31.133789,76.985352,87.286133,152.438477
