# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=SEAGenerator(balance_classes=False, classification_function=1, noise_percentage=0.1, random_state=112), position=250000, random_state=None, stream=SEAGenerator(balance_classes=False, classification_function=0, noise_percentage=0.1, random_state=112), width=50000)
# [ARSLVQ] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='adadelta', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [MEB] SWMEB eps: 0.1, kernelized: True, w_size: 5 only_mis: True kernel: <function elm_kernel_vec at 0xffffb2d558b0>
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='_sea_g_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB],current_acc_[MEB],model_size_[ARSLVQ],model_size_[MEB]
3590,0.840882,0.880000,0.487647,0.505000,7.920898,27.334961
3790,0.842778,0.875000,0.482500,0.395000,7.920898,25.182617
3990,0.843421,0.855000,0.483421,0.500000,7.920898,26.401367
4190,0.843500,0.845000,0.487250,0.560000,7.920898,24.057617
4390,0.842857,0.830000,0.486190,0.465000,7.920898,27.026367
4590,0.842500,0.835000,0.484773,0.455000,7.920898,25.588867
4790,0.844130,0.880000,0.479565,0.365000,7.920898,25.893555
4990,0.842292,0.800000,0.481250,0.520000,7.920898,26.834961
5190,0.843200,0.865000,0.480800,0.470000,7.920898,25.401367
5390,0.841154,0.790000,0.480385,0.470000,7.920898,24.604492
5590,0.841111,0.840000,0.477037,0.390000,7.920898,26.467773
5790,0.841786,0.860000,0.479286,0.540000,7.920898,29.233398
5990,0.841724,0.840000,0.479310,0.480000,7.920898,26.510742
6190,0.841167,0.825000,0.478333,0.450000,7.920898,28.147461
6390,0.840323,0.815000,0.478871,0.495000,7.920898,25.893555
6590,0.839063,0.800000,0.478750,0.475000,7.920898,26.655273
6790,0.838333,0.815000,0.482121,0.590000,7.920898,26.721680
6990,0.838971,0.860000,0.486471,0.630000,7.920898,28.643555
7190,0.840000,0.875000,0.487429,0.520000,7.920898,29.440430
7390,0.840556,0.860000,0.485972,0.435000,7.920898,27.182617
7590,0.841757,0.885000,0.487027,0.525000,7.920898,25.065430
7790,0.840921,0.810000,0.487500,0.505000,7.920898,24.456055
7990,0.840769,0.835000,0.485513,0.410000,7.920898,25.096680
8190,0.841000,0.850000,0.485625,0.490000,7.920898,25.065430
8390,0.841220,0.850000,0.483659,0.405000,7.920898,25.639648
8590,0.841190,0.840000,0.481905,0.410000,7.920898,26.877930
8790,0.841279,0.845000,0.483605,0.555000,7.920898,25.545898
8990,0.841477,0.850000,0.481818,0.405000,7.920898,28.159180
9190,0.840889,0.815000,0.483333,0.550000,7.920898,26.784180
9390,0.841196,0.855000,0.482174,0.430000,7.920898,26.909180
9590,0.841809,0.870000,0.482766,0.510000,7.920898,25.518555
9790,0.842396,0.870000,0.480312,0.365000,7.920898,28.577148
9990,0.842449,0.845000,0.479082,0.420000,7.920898,27.487305
10190,0.842400,0.840000,0.477400,0.395000,7.920898,25.588867
10390,0.841471,0.795000,0.475686,0.390000,7.920898,25.893555
10590,0.841538,0.845000,0.476827,0.535000,7.920898,25.073242
10790,0.841604,0.845000,0.476132,0.440000,7.920898,23.491211
