Distance,Power,Liter,V1,V2,X,Y,Phase,Phase_compressed,Production
1.0,3278.437,0.0,0.0,0.0,1.2060004347706343,1.1423733949255286,1,1,0
1.0,3292.4770000000003,0.0,0.0,0.0,1.3466495053270713,1.0520889290741318,1,1,0
1.0,3289.743,0.0,0.0,0.0,1.4064390889236051,0.7246514399100623,1,1,0
1.0,3289.743,0.0,0.0,0.0,1.4064390889236051,0.5511849501355452,1,1,0
1.0,3289.743,0.0,0.0,0.0,1.4333584259103096,0.7246514399100623,1,1,0
1.0,3289.743,0.0,0.0,0.0,1.4333584259103096,0.5511849501355452,1,1,0
1.0,3282.73,0.0,0.0,0.0,1.229645957120327,0.5432056690198218,20,4,0
1.0,3282.73,0.0,0.0,0.0,1.229645957120327,0.5514560740099449,20,4,0
1.0,3282.73,0.0,0.0,0.0,1.113279587503638,0.5432056690198218,20,4,0
1.0,3282.73,0.0,0.0,0.0,1.113279587503638,0.5514560740099449,20,4,0
1.0,3281.55,0.0,0.0,0.0,1.198385602833681,0.4071162947276036,20,4,0
1.0,3281.55,0.0,0.0,0.0,1.198385602833681,0.3369443901357753,20,4,0
1.0,3281.55,0.0,0.0,0.0,1.2463550907362304,0.4071162947276036,20,4,0
1.0,3281.55,0.0,0.0,0.0,1.2463550907362304,0.3369443901357753,20,4,0
1.0,3288.57,0.0,0.0,0.0,1.1367257779286268,0.3774314838055965,20,4,0
1.0,3288.57,0.0,0.0,0.0,1.1367257779286268,0.4122051128023162,20,4,0
1.0,3288.57,0.0,0.0,0.0,1.0745466001056732,0.3774314838055965,20,4,0
1.0,3288.57,0.0,0.0,0.0,1.0745466001056732,0.4122051128023162,20,4,0
1.0,3297.95,0.0,0.0,0.0,1.1583673034124509,0.4020945152169475,20,4,0
1.0,3313.16,0.0,0.0,0.0,1.1828657146258166,0.7712038463535577,20,4,0
1.0,3319.01,0.0,0.0,0.0,1.0818014961843607,1.1383727066444234,20,4,0
1.0,3319.01,0.0,0.0,0.0,1.0818014961843607,1.3540391847093007,20,4,0
1.0,3319.01,0.0,0.0,0.0,1.0254354918909585,1.1383727066444234,20,4,0
1.0,3319.01,0.0,0.0,0.0,1.0254354918909585,1.3540391847093007,20,4,0
1.0,3292.09,0.0,0.0,0.0,1.0227372517302449,1.4782928010304532,20,4,0
1.0,3292.09,0.0,0.0,0.0,1.0227372517302449,1.546523999753088,20,4,0
1.0,3292.09,0.0,0.0,0.0,1.0251742648215156,1.4782928010304532,20,4,0
1.0,3292.09,0.0,0.0,0.0,1.0251742648215156,1.546523999753088,20,4,0
1.0,3295.994,0.0,0.0,0.0,1.1822319726253792,1.6275104252417574,20,4,0
1.0,3302.62,0.0,0.0,0.0,1.419845486311876,1.708701599149952,20,4,0
1.0,3302.62,0.0,0.0,0.0,1.419845486311876,1.7510114218128916,20,4,0
1.0,3302.62,0.0,0.0,0.0,1.5544662637185267,1.708701599149952,20,4,0
