# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.001, n_drift_features=2, n_features=10, noise_percentage=0.1, random_state=None, sigma_percentage=0.1)
# [hat] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [rslvq] RobustSoftLearningVectorQuantization(gamma=0.9, gradient_descent='vanilla', initial_prototypes=None, prototypes_per_class=4, random_state=None, sigma=4)
# [rrslvq] RSLVQ
# [adf] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [oza] OzaBaggingADWINClassifier(base_estimator=KNNClassifier(leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5), n_estimators=10, random_state=None)
# [samknn] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy', 'running_time'], n_wait=200, output_file='Hyperplane Generator_time_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[rrslvq],current_acc_[rrslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[rrslvq],testing_time_[rrslvq],total_running_time_[rrslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
2790,0.842308,0.665000,0.754615,0.685000,0.764615,0.745000,0.750385,0.735000,0.776538,0.765000,0.779615,0.795000,0.441237,0.159325,0.600561,1.011731,0.069264,1.080995,2.854347,0.062368,2.916715,10.770858,0.828549,11.599406,1.913600,1.043203,2.956803,0.752858,0.238998,0.991856
2990,0.841071,0.825000,0.754643,0.755000,0.771429,0.860000,0.753214,0.790000,0.776071,0.770000,0.780714,0.795000,0.482487,0.169637,0.652125,1.084694,0.074251,1.158945,3.083093,0.067116,3.150209,11.601594,0.894725,12.496319,2.073426,1.151770,3.225196,0.804731,0.256600,1.061332
3190,0.841333,0.845000,0.758333,0.810000,0.778333,0.875000,0.754667,0.775000,0.777667,0.800000,0.786333,0.865000,0.521195,0.180157,0.701352,1.154745,0.079239,1.233984,3.300276,0.071815,3.372090,12.388247,0.958135,13.346382,2.235115,1.243047,3.478162,0.862597,0.273491,1.136088
3390,0.840938,0.835000,0.765000,0.865000,0.784375,0.875000,0.753750,0.740000,0.776563,0.760000,0.789062,0.830000,0.563051,0.190616,0.753668,1.222832,0.084244,1.307076,3.521709,0.076605,3.598314,13.229458,1.025202,14.254660,2.401426,1.334900,3.736326,0.908279,0.287285,1.195563
3590,0.839118,0.810000,0.759412,0.670000,0.786471,0.820000,0.754706,0.770000,0.775294,0.755000,0.785588,0.730000,0.602691,0.201240,0.803932,1.296509,0.089213,1.385722,3.738728,0.081449,3.820177,14.060765,1.092298,15.153063,2.558928,1.427015,3.985942,0.961306,0.302034,1.263340
3790,0.839167,0.840000,0.759722,0.765000,0.788889,0.830000,0.754722,0.755000,0.775556,0.780000,0.784444,0.765000,0.641869,0.212377,0.854246,1.367815,0.094658,1.462473,3.966501,0.086852,4.053353,14.901245,1.160970,16.062215,2.722718,1.520550,4.243268,1.010573,0.317545,1.328118
3990,0.843158,0.915000,0.760263,0.770000,0.792105,0.850000,0.756579,0.790000,0.777105,0.805000,0.786579,0.825000,0.686008,0.223238,0.909246,1.459667,0.099722,1.559389,4.202506,0.091629,4.294135,15.783297,1.237550,17.020847,2.914580,1.622393,4.536973,1.054501,0.331070,1.385571
4190,0.841250,0.805000,0.758750,0.730000,0.792500,0.800000,0.756250,0.750000,0.776250,0.760000,0.784750,0.750000,0.733765,0.234930,0.968695,1.537493,0.105031,1.642524,4.446092,0.096755,4.542846,16.808389,1.317429,18.125818,3.110703,1.734491,4.845194,1.106203,0.346291,1.452494
4390,0.841667,0.850000,0.760000,0.785000,0.795476,0.855000,0.755952,0.750000,0.772619,0.700000,0.788095,0.855000,0.775129,0.245739,1.020868,1.608234,0.110148,1.718381,4.663470,0.101647,4.765118,17.646330,1.387844,19.034174,3.281181,1.826886,5.108067,1.154989,0.361208,1.516197
4590,0.840227,0.810000,0.760909,0.780000,0.797955,0.850000,0.755909,0.755000,0.772045,0.760000,0.788864,0.805000,0.820114,0.256079,1.076193,1.676489,0.115054,1.791543,4.878603,0.106352,4.984955,18.475527,1.455769,19.931297,3.436928,1.916897,5.353825,1.195386,0.373436,1.568821
