id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
7799,0.755000,1.000000,1.000000,1.000000,1.000000,1.000000,0.265789,0.290000,0.640921,0.495000,49.545898,132.038086,491.428711,19.289062,77.777344
7999,0.761282,1.000000,1.000000,1.000000,1.000000,1.000000,0.266282,0.285000,0.645385,0.815000,49.545898,132.038086,491.428711,19.289062,66.359375
8199,0.767250,1.000000,1.000000,1.000000,1.000000,1.000000,0.265875,0.250000,0.646125,0.675000,49.545898,132.038086,491.428711,18.945312,58.335938
8399,0.772927,1.000000,1.000000,1.000000,1.000000,1.000000,0.265244,0.240000,0.642561,0.500000,49.545898,132.038086,491.428711,19.289062,55.820312
8599,0.778333,1.000000,1.000000,1.000000,1.000000,1.000000,0.264881,0.250000,0.641310,0.590000,49.545898,132.038086,491.428711,19.289062,59.468750
8799,0.783488,1.000000,1.000000,1.000000,1.000000,1.000000,0.264070,0.230000,0.641744,0.660000,49.545898,132.038086,491.428711,18.945312,71.890625
8999,0.788409,1.000000,1.000000,1.000000,1.000000,1.000000,0.264318,0.275000,0.640227,0.575000,49.545898,132.038086,491.428711,19.289062,67.699219
9199,0.793111,1.000000,1.000000,1.000000,1.000000,1.000000,0.264556,0.275000,0.644889,0.850000,49.545898,132.038086,491.428711,18.507812,62.968750
9399,0.797609,1.000000,1.000000,1.000000,1.000000,1.000000,0.264783,0.275000,0.642826,0.550000,49.545898,132.038086,491.428711,19.289062,65.207031
9599,0.801915,1.000000,1.000000,1.000000,1.000000,1.000000,0.264362,0.245000,0.646277,0.805000,49.545898,132.038086,491.428711,18.945312,83.828125
9799,0.806042,1.000000,1.000000,1.000000,1.000000,1.000000,0.264375,0.265000,0.647604,0.710000,49.545898,132.038086,491.428711,18.945312,63.941406
9999,0.810000,1.000000,1.000000,1.000000,1.000000,1.000000,0.264286,0.260000,0.646020,0.570000,49.545898,132.038086,491.428711,19.289062,64.449219
10199,0.813800,1.000000,1.000000,1.000000,1.000000,1.000000,0.264500,0.275000,0.646300,0.660000,49.545898,132.038086,491.428711,19.289062,72.429688
10399,0.817451,1.000000,1.000000,1.000000,1.000000,1.000000,0.263824,0.230000,0.646569,0.660000,49.545898,132.038086,491.428711,19.289062,81.847656
10599,0.820962,1.000000,1.000000,1.000000,1.000000,1.000000,0.263269,0.235000,0.645673,0.600000,49.545898,132.038086,491.428711,19.289062,66.398438
10799,0.824340,1.000000,1.000000,1.000000,1.000000,1.000000,0.263113,0.255000,0.643679,0.540000,49.545898,132.038086,491.428711,19.289062,68.929688
10999,0.827593,1.000000,1.000000,1.000000,1.000000,1.000000,0.262593,0.235000,0.642037,0.555000,49.545898,132.038086,491.428711,18.945312,65.574219
11199,0.830727,1.000000,1.000000,1.000000,1.000000,1.000000,0.262273,0.245000,0.643909,0.745000,49.545898,132.038086,491.428711,19.289062,53.410156
11399,0.833750,1.000000,1.000000,1.000000,1.000000,1.000000,0.263036,0.305000,0.640179,0.435000,49.545898,132.038086,491.428711,18.945312,65.746094
11599,0.836667,1.000000,1.000000,1.000000,1.000000,1.000000,0.263421,0.285000,0.640526,0.660000,49.545898,132.038086,491.428711,18.945312,63.468750
11799,0.839483,1.000000,1.000000,1.000000,1.000000,1.000000,0.263276,0.255000,0.638190,0.505000,49.545898,132.038086,491.428711,19.289062,64.250000
11999,0.842203,1.000000,1.000000,1.000000,1.000000,1.000000,0.263559,0.280000,0.634576,0.425000,49.545898,132.038086,491.428711,19.289062,65.082031
12199,0.844833,1.000000,1.000000,1.000000,1.000000,1.000000,0.263500,0.260000,0.635917,0.715000,49.545898,132.038086,491.428711,19.289062,65.410156
12399,0.847377,1.000000,1.000000,1.000000,1.000000,1.000000,0.263934,0.290000,0.638115,0.770000,49.545898,132.038086,491.428711,19.289062,57.613281
12599,0.849839,1.000000,1.000000,1.000000,1.000000,1.000000,0.263387,0.230000,0.637742,0.615000,49.545898,132.038086,491.428711,19.289062,76.386719
12799,0.852222,1.000000,1.000000,1.000000,1.000000,1.000000,0.263016,0.240000,0.635556,0.500000,49.545898,132.038086,491.428711,18.945312,63.574219
12999,0.854531,1.000000,1.000000,1.000000,1.000000,1.000000,0.262734,0.245000,0.635781,0.650000,49.545898,132.038086,491.428711,18.945312,74.960938
13199,0.856769,1.000000,1.000000,1.000000,1.000000,1.000000,0.262154,0.225000,0.631769,0.375000,49.545898,132.038086,491.428711,18.945312,62.472656
13399,0.858939,1.000000,1.000000,1.000000,1.000000,1.000000,0.261894,0.245000,0.631667,0.625000,49.545898,132.038086,491.428711,18.945312,63.703125
13599,0.861045,1.000000,1.000000,1.000000,1.000000,1.000000,0.262313,0.290000,0.635373,0.880000,49.545898,132.038086,491.428711,18.945312,63.687500
13799,0.863088,1.000000,1.000000,1.000000,1.000000,1.000000,0.262206,0.255000,0.636471,0.710000,49.545898,132.038086,491.428711,18.945312,55.187500
13999,0.865072,1.000000,1.000000,1.000000,1.000000,1.000000,0.262029,0.250000,0.634710,0.515000,49.545898,132.038086,491.428711,19.289062,74.046875
14199,0.867000,1.000000,1.000000,1.000000,1.000000,1.000000,0.262500,0.295000,0.635000,0.655000,49.545898,132.038086,491.428711,19.289062,73.433594
14399,0.868873,1.000000,1.000000,1.000000,1.000000,1.000000,0.262394,0.255000,0.634014,0.565000,49.545898,132.038086,491.428711,19.289062,59.386719
14599,0.870694,1.000000,1.000000,1.000000,1.000000,1.000000,0.262639,0.280000,0.632222,0.505000,49.545898,132.038086,491.428711,19.289062,62.250000
14799,0.872466,1.000000,1.000000,1.000000,1.000000,1.000000,0.262877,0.280000,0.630959,0.540000,49.545898,132.038086,491.428711,19.289062,76.468750
14999,0.874189,1.000000,1.000000,1.000000,1.000000,1.000000,0.263243,0.290000,0.633108,0.790000,49.545898,132.038086,491.428711,19.289062,66.597656
15199,0.875867,1.000000,1.000000,1.000000,1.000000,1.000000,0.263067,0.250000,0.630467,0.435000,49.545898,132.038086,491.428711,19.289062,53.671875
15399,0.877500,1.000000,1.000000,1.000000,1.000000,1.000000,0.263553,0.300000,0.627697,0.420000,49.545898,132.038086,491.428711,18.945312,57.652344
15599,0.879091,1.000000,1.000000,1.000000,1.000000,1.000000,0.263571,0.265000,0.629740,0.785000,49.545898,132.038086,491.428711,18.945312,65.746094
15799,0.880641,1.000000,1.000000,1.000000,1.000000,1.000000,0.263397,0.250000,0.629551,0.615000,49.545898,132.038086,491.428711,19.289062,65.230469
15999,0.882152,1.000000,1.000000,1.000000,1.000000,1.000000,0.263418,0.265000,0.629430,0.620000,49.545898,132.038086,491.428711,19.289062,65.800781
16199,0.883625,1.000000,1.000000,1.000000,1.000000,1.000000,0.263188,0.245000,0.630313,0.700000,49.545898,132.038086,491.428711,19.289062,55.992188
16399,0.885062,1.000000,1.000000,1.000000,1.000000,1.000000,0.263148,0.260000,0.629198,0.540000,49.545898,132.038086,491.428711,19.289062,51.066406
16599,0.886463,1.000000,1.000000,1.000000,1.000000,1.000000,0.263354,0.280000,0.629939,0.690000,49.545898,132.038086,491.428711,19.289062,67.535156
16799,0.887831,1.000000,1.000000,1.000000,1.000000,1.000000,0.263253,0.255000,0.630602,0.685000,49.545898,132.038086,491.428711,19.289062,54.007812
16999,0.889167,1.000000,1.000000,1.000000,1.000000,1.000000,0.263750,0.305000,0.630000,0.580000,49.545898,132.038086,491.428711,19.289062,51.941406
17199,0.890471,1.000000,1.000000,1.000000,1.000000,1.000000,0.263294,0.225000,0.632353,0.830000,49.545898,132.038086,491.428711,19.289062,64.207031
17399,0.891744,1.000000,1.000000,1.000000,1.000000,1.000000,0.263314,0.265000,0.633372,0.720000,49.545898,132.038086,491.428711,19.289062,62.160156
17599,0.892989,1.000000,1.000000,1.000000,1.000000,1.000000,0.263161,0.250000,0.633678,0.660000,49.545898,132.038086,491.428711,19.289062,61.160156
17799,0.894205,1.000000,1.000000,1.000000,1.000000,1.000000,0.263125,0.260000,0.633750,0.640000,49.545898,132.038086,491.428711,19.289062,65.042969
17999,0.895393,1.000000,1.000000,1.000000,1.000000,1.000000,0.263258,0.275000,0.634270,0.680000,49.545898,132.038086,491.428711,19.289062,48.703125
18199,0.896556,1.000000,1.000000,1.000000,1.000000,1.000000,0.263722,0.305000,0.634333,0.640000,49.545898,132.038086,491.428711,19.289062,60.195312
18399,0.897692,1.000000,1.000000,1.000000,1.000000,1.000000,0.264066,0.295000,0.634835,0.680000,49.545898,132.038086,491.428711,18.945312,61.796875
18599,0.898804,1.000000,1.000000,1.000000,1.000000,1.000000,0.264022,0.260000,0.636033,0.745000,49.545898,132.038086,491.428711,19.289062,63.574219
18799,0.899892,1.000000,1.000000,1.000000,1.000000,1.000000,0.264624,0.320000,0.637043,0.730000,49.545898,132.038086,491.428711,19.289062,61.742188
18999,0.900957,1.000000,1.000000,1.000000,1.000000,1.000000,0.264787,0.280000,0.637128,0.645000,49.545898,132.038086,491.428711,19.289062,67.972656
19199,0.902000,1.000000,1.000000,1.000000,1.000000,1.000000,0.264579,0.245000,0.639158,0.830000,49.545898,132.038086,491.428711,19.289062,65.183594
19399,0.903021,1.000000,1.000000,1.000000,1.000000,1.000000,0.264844,0.290000,0.639479,0.670000,49.545898,132.038086,491.428711,18.945312,55.855469
19599,0.904021,1.000000,1.000000,1.000000,1.000000,1.000000,0.264639,0.245000,0.638557,0.550000,49.545898,132.038086,491.428711,19.289062,57.949219
19799,0.905000,1.000000,1.000000,1.000000,1.000000,1.000000,0.264643,0.265000,0.640153,0.795000,49.545898,132.038086,491.428711,18.945312,59.332031
19999,0.905960,1.000000,1.000000,1.000000,1.000000,1.000000,0.264545,0.255000,0.640960,0.720000,49.545898,132.038086,491.428711,18.945312,58.472656
20199,0.906900,1.000000,1.000000,1.000000,1.000000,1.000000,0.264700,0.280000,0.640500,0.595000,49.545898,132.038086,491.428711,19.289062,62.878906
20399,0.907822,1.000000,1.000000,1.000000,1.000000,1.000000,0.264950,0.290000,0.641040,0.695000,49.545898,132.038086,491.428711,18.945312,64.410156
20599,0.908725,1.000000,1.000000,1.000000,1.000000,1.000000,0.264902,0.260000,0.643235,0.865000,49.545898,132.038086,491.428711,19.289062,59.480469
20799,0.909612,1.000000,1.000000,1.000000,1.000000,1.000000,0.264709,0.245000,0.643350,0.655000,49.545898,132.038086,491.428711,18.945312,63.390625
20999,0.910481,1.000000,1.000000,1.000000,1.000000,1.000000,0.264423,0.235000,0.645529,0.870000,49.545898,132.038086,491.428711,18.945312,60.753906
21199,0.911333,1.000000,1.000000,1.000000,1.000000,1.000000,0.264476,0.270000,0.644048,0.490000,49.545898,132.038086,491.428711,19.289062,65.765625
21399,0.912170,1.000000,1.000000,1.000000,1.000000,1.000000,0.264340,0.250000,0.644764,0.720000,49.545898,132.038086,491.428711,18.507812,60.406250
21599,0.912991,1.000000,1.000000,1.000000,1.000000,1.000000,0.264346,0.265000,0.645748,0.750000,49.545898,132.038086,491.428711,19.289062,70.554688
21799,0.913796,1.000000,1.000000,1.000000,1.000000,1.000000,0.264398,0.270000,0.646111,0.685000,49.545898,132.038086,491.428711,19.289062,71.765625
21999,0.914587,1.000000,1.000000,1.000000,1.000000,1.000000,0.264266,0.250000,0.646422,0.680000,49.545898,132.038086,491.428711,19.289062,66.628906
22199,0.915364,1.000000,1.000000,1.000000,1.000000,1.000000,0.264091,0.245000,0.646409,0.645000,49.545898,132.038086,491.428711,19.289062,58.394531
22399,0.916126,1.000000,1.000000,1.000000,1.000000,1.000000,0.264324,0.290000,0.646351,0.640000,49.545898,132.038086,491.428711,19.289062,62.285156
22599,0.916875,1.000000,1.000000,1.000000,1.000000,1.000000,0.264107,0.240000,0.646741,0.690000,49.545898,132.038086,491.428711,19.289062,69.164062
22799,0.917611,1.000000,1.000000,1.000000,1.000000,1.000000,0.263805,0.230000,0.645531,0.510000,49.545898,132.038086,491.428711,19.289062,70.839844
22999,0.918333,1.000000,1.000000,1.000000,1.000000,1.000000,0.263596,0.240000,0.646140,0.715000,49.545898,132.038086,491.428711,19.289062,75.519531
23199,0.919043,1.000000,1.000000,1.000000,1.000000,1.000000,0.263739,0.280000,0.646174,0.650000,49.545898,132.038086,491.428711,18.945312,66.753906
23399,0.919741,1.000000,1.000000,1.000000,1.000000,1.000000,0.263578,0.245000,0.647328,0.780000,49.545898,132.038086,491.428711,18.945312,65.421875
23599,0.920427,1.000000,1.000000,1.000000,1.000000,1.000000,0.263718,0.280000,0.645940,0.485000,49.545898,132.038086,491.428711,19.289062,69.097656
23799,0.921102,1.000000,1.000000,1.000000,1.000000,1.000000,0.263729,0.265000,0.645339,0.575000,49.545898,132.038086,491.428711,18.945312,60.082031
23999,0.921765,1.000000,1.000000,1.000000,1.000000,1.000000,0.263613,0.250000,0.644832,0.585000,49.545898,132.038086,491.428711,19.289062,70.648438
24199,0.922417,1.000000,1.000000,1.000000,1.000000,1.000000,0.263583,0.260000,0.645167,0.685000,49.545898,132.038086,491.428711,18.945312,76.371094
24399,0.923058,1.000000,1.000000,1.000000,1.000000,1.000000,0.263223,0.220000,0.645537,0.690000,49.545898,132.038086,491.428711,19.289062,69.722656
24599,0.923689,1.000000,1.000000,1.000000,1.000000,1.000000,0.262910,0.225000,0.644016,0.460000,49.545898,132.038086,491.428711,19.289062,57.187500
24799,0.924309,1.000000,1.000000,1.000000,1.000000,1.000000,0.263008,0.275000,0.643902,0.630000,49.545898,132.038086,491.428711,19.289062,56.714844
24999,0.924919,1.000000,1.000000,1.000000,1.000000,1.000000,0.262944,0.255000,0.644194,0.680000,49.545898,132.038086,491.428711,19.289062,62.851562
25199,0.925520,1.000000,1.000000,1.000000,1.000000,1.000000,0.262880,0.255000,0.643640,0.575000,49.545898,132.038086,491.428711,19.289062,73.343750
25399,0.926111,1.000000,1.000000,1.000000,1.000000,1.000000,0.262937,0.270000,0.644365,0.735000,49.545898,132.038086,491.428711,18.945312,69.210938
25599,0.926693,1.000000,1.000000,1.000000,1.000000,1.000000,0.262598,0.220000,0.644370,0.645000,49.545898,132.038086,491.428711,19.289062,57.960938
25799,0.927266,1.000000,1.000000,1.000000,1.000000,1.000000,0.263008,0.315000,0.646211,0.880000,49.545898,132.038086,491.428711,18.945312,62.992188
25999,0.927829,1.000000,1.000000,1.000000,1.000000,1.000000,0.263023,0.265000,0.647093,0.760000,49.545898,132.038086,491.428711,19.289062,62.097656
26199,0.928385,1.000000,1.000000,1.000000,1.000000,1.000000,0.263115,0.275000,0.648038,0.770000,49.545898,132.038086,491.428711,19.289062,56.468750
26399,0.928931,1.000000,1.000000,1.000000,1.000000,1.000000,0.263359,0.295000,0.647901,0.630000,49.545898,132.038086,491.428711,19.289062,57.921875
26599,0.929470,1.000000,1.000000,1.000000,1.000000,1.000000,0.263561,0.290000,0.646515,0.465000,49.545898,132.038086,491.428711,19.289062,60.859375
26799,0.930000,1.000000,1.000000,1.000000,1.000000,1.000000,0.263496,0.255000,0.647594,0.790000,49.545898,132.038086,491.428711,19.289062,72.296875
26999,0.930522,1.000000,1.000000,1.000000,1.000000,1.000000,0.263396,0.250000,0.648358,0.750000,49.545898,132.038086,491.428711,18.945312,65.718750
27199,0.931037,1.000000,1.000000,1.000000,1.000000,1.000000,0.263370,0.260000,0.649333,0.780000,49.545898,132.038086,491.428711,18.945312,68.332031
27399,0.931544,1.000000,1.000000,1.000000,1.000000,1.000000,0.263419,0.270000,0.650478,0.805000,49.545898,132.038086,491.428711,19.289062,61.691406
27599,0.932044,1.000000,1.000000,1.000000,1.000000,1.000000,0.263394,0.260000,0.648759,0.415000,49.545898,132.038086,491.428711,19.289062,52.285156
27799,0.932536,1.000000,1.000000,1.000000,1.000000,1.000000,0.263514,0.280000,0.648478,0.610000,49.545898,132.038086,491.428711,19.289062,64.718750
27999,0.933022,1.000000,1.000000,1.000000,1.000000,1.000000,0.263453,0.255000,0.647590,0.525000,49.545898,132.038086,491.428711,18.945312,66.582031
28199,0.933500,1.000000,1.000000,1.000000,1.000000,1.000000,0.263464,0.265000,0.647286,0.605000,49.545898,132.038086,491.428711,18.945312,70.816406
28399,0.933972,1.000000,1.000000,1.000000,1.000000,1.000000,0.263759,0.305000,0.647660,0.700000,49.545898,132.038086,491.428711,19.289062,59.632812
28599,0.934437,1.000000,1.000000,1.000000,1.000000,1.000000,0.263803,0.270000,0.647465,0.620000,49.545898,132.038086,491.428711,19.289062,70.769531
28799,0.934895,1.000000,1.000000,1.000000,1.000000,1.000000,0.263846,0.270000,0.647762,0.690000,49.545898,132.038086,491.428711,19.289062,61.238281
28999,0.935347,1.000000,1.000000,1.000000,1.000000,1.000000,0.263472,0.210000,0.647604,0.625000,49.545898,132.038086,491.428711,19.289062,55.296875
29199,0.935793,1.000000,1.000000,1.000000,1.000000,1.000000,0.263655,0.290000,0.647931,0.695000,49.545898,132.038086,491.428711,19.289062,73.226562
29399,0.936233,1.000000,1.000000,1.000000,1.000000,1.000000,0.263664,0.265000,0.646712,0.470000,49.545898,132.038086,491.428711,18.945312,66.042969
29599,0.936667,1.000000,1.000000,1.000000,1.000000,1.000000,0.263571,0.250000,0.646327,0.590000,49.545898,132.038086,491.428711,19.289062,57.402344
29799,0.937095,1.000000,1.000000,1.000000,1.000000,1.000000,0.263446,0.245000,0.646216,0.630000,49.545898,132.038086,491.428711,19.289062,70.175781
29999,0.937517,1.000000,1.000000,1.000000,1.000000,1.000000,0.263557,0.280000,0.645134,0.485000,49.545898,132.038086,491.428711,18.945312,52.902344
30199,0.937933,1.000000,1.000000,1.000000,1.000000,1.000000,0.263767,0.295000,0.645500,0.700000,49.545898,132.038086,491.428711,18.507812,83.164062
30399,0.938344,1.000000,1.000000,1.000000,1.000000,1.000000,0.263642,0.245000,0.644768,0.535000,49.545898,132.038086,491.428711,19.289062,55.835938
30599,0.938750,1.000000,1.000000,1.000000,1.000000,1.000000,0.263684,0.270000,0.644934,0.670000,49.545898,132.038086,491.428711,19.289062,68.890625
30799,0.939150,1.000000,1.000000,1.000000,1.000000,1.000000,0.263725,0.270000,0.643007,0.350000,49.545898,132.038086,491.428711,19.289062,56.140625
30999,0.939545,1.000000,1.000000,1.000000,1.000000,1.000000,0.263961,0.300000,0.641753,0.450000,49.545898,132.038086,491.428711,19.289062,55.429688
31199,0.939935,1.000000,1.000000,1.000000,1.000000,1.000000,0.264097,0.285000,0.641226,0.560000,49.545898,132.038086,491.428711,19.289062,62.828125
31399,0.940321,1.000000,1.000000,1.000000,1.000000,1.000000,0.264103,0.265000,0.640641,0.550000,49.545898,132.038086,491.428711,19.289062,65.531250
31599,0.940701,1.000000,1.000000,1.000000,1.000000,1.000000,0.264013,0.250000,0.640924,0.685000,49.545898,132.038086,491.428711,19.289062,77.812500
31799,0.941076,1.000000,1.000000,1.000000,1.000000,1.000000,0.264051,0.270000,0.640411,0.560000,49.545898,132.038086,491.428711,19.289062,73.378906
31999,0.941447,1.000000,1.000000,1.000000,1.000000,1.000000,0.263931,0.245000,0.639811,0.545000,49.545898,132.038086,491.428711,18.945312,61.625000
32199,0.941813,1.000000,1.000000,1.000000,1.000000,1.000000,0.263969,0.270000,0.639625,0.610000,49.545898,132.038086,491.428711,18.507812,66.257812
32399,0.942174,1.000000,1.000000,1.000000,1.000000,1.000000,0.263820,0.240000,0.641118,0.880000,49.545898,132.038086,491.428711,19.289062,59.882812
32599,0.942531,1.000000,1.000000,1.000000,1.000000,1.000000,0.263889,0.275000,0.641235,0.660000,49.545898,132.038086,491.428711,19.289062,59.035156
32799,0.942883,1.000000,1.000000,1.000000,1.000000,1.000000,0.264018,0.285000,0.639387,0.340000,49.545898,132.038086,491.428711,18.945312,59.339844
32999,0.943232,1.000000,1.000000,1.000000,1.000000,1.000000,0.263933,0.250000,0.639421,0.645000,49.545898,132.038086,491.428711,19.289062,54.386719
33199,0.943576,1.000000,1.000000,1.000000,1.000000,1.000000,0.263727,0.230000,0.640667,0.845000,49.545898,132.038086,491.428711,19.289062,69.089844
33399,0.943916,1.000000,1.000000,1.000000,1.000000,1.000000,0.263825,0.280000,0.640452,0.605000,49.545898,132.038086,491.428711,18.945312,72.277344
33599,0.944251,1.000000,1.000000,1.000000,1.000000,1.000000,0.263802,0.260000,0.639790,0.530000,49.545898,132.038086,491.428711,19.289062,49.414062
33799,0.944583,1.000000,1.000000,1.000000,1.000000,1.000000,0.263750,0.255000,0.638958,0.500000,49.545898,132.038086,491.428711,18.945312,67.039062
33999,0.944911,1.000000,1.000000,1.000000,1.000000,1.000000,0.263728,0.260000,0.639734,0.770000,49.545898,132.038086,491.428711,19.289062,61.332031
