id,mean_acc_[ARSLVQ],current_acc_[ARSLVQ],mean_acc_[MEB$_5$],current_acc_[MEB$_5$],mean_acc_[MEB$_{300}$],current_acc_[MEB$_{300}$],mean_acc_[MCCVM$_5$],current_acc_[MCCVM$_5$],mean_acc_[MCCVM$_{300}$],current_acc_[MCCVM$_{300}$],model_size_[ARSLVQ],model_size_[MEB$_5$],model_size_[MEB$_{300}$],model_size_[MCCVM$_5$],model_size_[MCCVM$_{300}$]
7599,0.250270,0.255000,0.454189,0.525000,0.569865,0.630000,0.135270,0.110000,0.151892,0.185000,129.233398,163.577148,2409.186523,22.476562,90.835938
7799,0.250132,0.245000,0.453421,0.425000,0.570132,0.580000,0.135263,0.135000,0.150658,0.105000,129.233398,162.569336,2420.354492,22.132812,103.375000
7999,0.250000,0.245000,0.454615,0.500000,0.570385,0.580000,0.135128,0.130000,0.151154,0.170000,129.233398,163.913086,2427.331055,22.476562,92.644531
8199,0.250500,0.270000,0.454875,0.465000,0.570250,0.565000,0.134750,0.120000,0.150750,0.135000,129.233398,163.913086,2485.483398,22.476562,101.468750
8399,0.249878,0.225000,0.455122,0.465000,0.571829,0.635000,0.134756,0.135000,0.150610,0.145000,129.233398,163.241211,2373.959961,22.476562,79.812500
8599,0.250357,0.270000,0.454643,0.435000,0.571667,0.565000,0.135714,0.175000,0.150952,0.165000,129.233398,163.241211,2424.241211,22.476562,83.179688
8799,0.251279,0.290000,0.454767,0.460000,0.571744,0.575000,0.135814,0.140000,0.150233,0.120000,129.233398,162.936523,2403.096680,22.476562,95.609375
8999,0.250455,0.215000,0.454091,0.425000,0.570909,0.535000,0.136477,0.165000,0.150682,0.170000,129.233398,162.905273,2383.600586,22.132812,108.304688
9199,0.250444,0.250000,0.454000,0.450000,0.569778,0.520000,0.136556,0.140000,0.150111,0.125000,129.233398,163.913086,2356.526367,22.476562,94.003906
9399,0.250435,0.250000,0.454239,0.465000,0.570978,0.625000,0.137283,0.170000,0.149674,0.130000,129.233398,163.913086,2456.901367,22.476562,88.890625
9599,0.250426,0.250000,0.454681,0.475000,0.571383,0.590000,0.136277,0.090000,0.149574,0.145000,129.233398,163.577148,2332.788086,22.476562,95.074219
9799,0.250937,0.275000,0.453229,0.385000,0.571979,0.600000,0.136042,0.125000,0.149792,0.160000,129.233398,163.913086,2206.088867,22.476562,90.757812
9999,0.251429,0.275000,0.453367,0.460000,0.573571,0.650000,0.135612,0.115000,0.148469,0.085000,129.233398,163.913086,2229.690430,22.476562,80.894531
10199,0.251400,0.250000,0.453700,0.470000,0.574400,0.615000,0.135600,0.135000,0.148100,0.130000,129.233398,163.577148,2296.034180,22.476562,94.164062
10399,0.251863,0.275000,0.453333,0.435000,0.575392,0.625000,0.135000,0.105000,0.147745,0.130000,129.233398,163.913086,2284.440430,22.476562,74.074219
10599,0.252692,0.295000,0.453173,0.445000,0.575481,0.580000,0.135192,0.145000,0.147019,0.110000,129.233398,162.905273,2280.706055,22.476562,85.210938
10799,0.251792,0.205000,0.452170,0.400000,0.575000,0.550000,0.135943,0.175000,0.147547,0.175000,129.233398,162.631836,2243.249023,22.476562,111.187500
10999,0.252500,0.290000,0.451296,0.405000,0.575741,0.615000,0.135185,0.095000,0.148426,0.195000,129.233398,163.577148,2170.053711,22.476562,84.347656
11199,0.251818,0.215000,0.450909,0.430000,0.575818,0.580000,0.135182,0.135000,0.148455,0.150000,129.233398,163.913086,2172.249023,22.476562,90.820312
11399,0.252768,0.305000,0.451429,0.480000,0.576875,0.635000,0.135536,0.155000,0.148571,0.155000,129.233398,162.600586,2253.717773,22.476562,101.578125
11599,0.252719,0.250000,0.451754,0.470000,0.577193,0.595000,0.135702,0.145000,0.148509,0.145000,129.233398,163.272461,2264.702148,22.476562,102.250000
11799,0.251897,0.205000,0.451121,0.415000,0.577414,0.590000,0.136379,0.175000,0.148534,0.150000,129.233398,163.913086,2356.776367,22.476562,98.050781
11999,0.252288,0.275000,0.451441,0.470000,0.578305,0.630000,0.136525,0.145000,0.148390,0.140000,129.233398,163.577148,2311.756836,22.476562,104.296875
12199,0.252917,0.290000,0.452333,0.505000,0.578333,0.580000,0.137333,0.185000,0.148750,0.170000,129.233398,163.272461,2326.831055,22.476562,83.472656
12399,0.252705,0.240000,0.452623,0.470000,0.578934,0.615000,0.138033,0.180000,0.148934,0.160000,129.233398,163.577148,2302.624023,22.476562,68.816406
12599,0.252500,0.240000,0.452500,0.445000,0.579597,0.620000,0.138226,0.150000,0.149516,0.185000,129.233398,163.913086,2280.502930,22.476562,87.507812
12799,0.253333,0.305000,0.452619,0.460000,0.580159,0.615000,0.138254,0.140000,0.149921,0.175000,129.233398,163.272461,2325.717773,22.476562,97.921875
